backend_drug_id,nama_produk,komposisi_normalized,drug_category,all_drug_categories,golongan_obat,perlu_resep,bentuk_sediaan,rute_penggunaan_hint,status_masa_berlaku,category_count,all_categories_supported
LKE12116003,COMBIDERM,BETAMETHASONE DIPROPIONATE. CLOTRIMAZOLE. GENTAMICIN SULFATE,kortikosteroid,kortikosteroid,Khusus Ekspor,0,KRIM; 0.5 MG /10 MG /1.47 MG,topikal,kedaluwarsa,1,1
DKL7203816231A1,CORTHON,HYDROCORTISONE ACETATE. NEOMYCIN SULFATE. POLYMYXIN B SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,"SALEP MATA; 10,00 MG /5,00 MG /10.000 IU",mata,aktif,1,1
DTL1124403528A1,COUNTERPAIN PXM,EUGENOL | MENTHOL | METHYL SALICYLATE | PIROXICAM,nsaid,nsaid,Obat Bebas Terbatas,0,GEL,topikal,aktif,1,1
DKI1631600710A1,COVERAM,AMLODIPINE BESILATE | PERINDOPRIL ARGININE,ccb,ccb,Obat Keras,1,TABLET,oral,aktif,1,1
LKE18066177,COZAAR,LOSARTAN POTASSIUM,ace_arb,ace_arb,Khusus Ekspor,0,TABLET SALUT SELAPUT,oral,aktif,1,1
LKE22066207,COZAAR XQ,LOSARTAN POTASSIUM. AMLODIPINE CAMSYLATE,ace_arb,ace_arb|ccb,Khusus Ekspor,0,TABLET SALUT SELAPUT; 50.00 MG /7.84 MG,oral,aktif,2,1
LKE22066208,COZAAR XQ,AMLODIPINE CAMSYLATE. LOSARTAN POTASSIUM,ace_arb,ace_arb|ccb,Khusus Ekspor,0,TABLET SALUT SELAPUT; 7.84 MG /100.00 MG,oral,aktif,2,1
DKI2167601346A1,CRAVIT,LEVOFLOXACIN HYDRATE,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,TETES MATA; 5 MG,mata,aktif,1,1
IKE17596001,CRESTOR,ROSUVASTATIN CALCIUM,statin,statin,Khusus Ekspor,0,TABLET SALUT SELAPUT,oral,aktif,1,1
GKL2417632917A1,DAPAGLIFLOZIN PROPANEDIOL HYDRATE,DAPAGLIFLOZIN PROPANEDIOL MONOHYDRATE,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL2511648517A1,DAPAGLIZ,DAPAGLIFLOZIN,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
LKE17147046,DECOLGEN MAX,IBUPROFEN. CHLORPHENAMINE MALEATE. PHENYLPROPANOLAMINE HYDROCHLORIDE,nsaid,nsaid,Khusus Ekspor,0,KAPSUL; 200 MG /2 MG /25 MG,oral,aktif,1,1
DKL0938500341A1,DEMY,BETAMETHASONE DIPROPIONATE | CLOTRIMAZOLE,kortikosteroid,kortikosteroid,Obat Keras,1,CAIRAN OBAT LUAR,lainnya,aktif,1,1
DKI7286100343A1,DEPO MEDROL,METHYLPREDNISOLONE ACETATE,kortikosteroid,kortikosteroid,Obat Keras,1,INJEKSI; 40.00 MG,parenteral,aktif,1,1
